product_name,product_category_tree,description,description_token
Surface 180 Elephant Shape Handpainted Wooden Round Stool Showpiece  -  17.78 cm,Home Decor & Festive Needs,Buy Surface 180 Elephant Shape Handpainted Wooden Round Stool Showpiece  -  17.78 cm for Rs.4704 online. Surface 180 Elephant Shape Handpainted Wooden Round Stool Showpiece  -  17.78 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'surface', '180', 'elephant', 'shape', 'handpainted', 'wooden', 'round', 'stool', 'showpiece', '17', '78', 'cm', 'r', '4704', 'online', 'surface', '180', 'elephant', 'shape', 'handpainted', 'wooden', 'round', 'stool', 'showpiece', '17', '78', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Sovam International Krishna With Cow Idol Showpiece  -  6 cm,Home Decor & Festive Needs,"Sovam International Krishna With Cow Idol Showpiece  -  6 cm (Brass, White)
                         Price: Rs. 1,240
				
			this handcrafted antique idol of Lord Krishna with Cow on metal durable stand is made of pure white metal. The idol is silver polished to give it alluring antique look. It is also an ideal gift for your friends and relatives. The gift piece has been prepared by the creative artisans
this handcrafted antique idol of Lord Krishna with Cow on metal durable stand is made of pure white metal. The idol is silver polished to give it alluring antique look. It is also an ideal gift for your friends and relatives. The gift piece has been prepared by the creative artisans","['sovam', 'international', 'krishna', 'cow', 'idol', 'showpiece', '6', 'cm', 'brass', 'white', 'price', 'r', '1', '240', 'handcraft', 'antique', 'idol', 'lord', 'krishna', 'cow', 'metal', 'durable', 'stand', 'make', 'pure', 'white', 'metal', 'idol', 'silver', 'polished', 'give', 'allure', 'antique', 'look', 'also', 'ideal', 'gift', 'friend', 'relative', 'gift', 'piece', 'prepared', 'creative', 'artisan', 'handcraft', 'antique', 'idol', 'lord', 'krishna', 'cow', 'metal', 'durable', 'stand', 'make', 'pure', 'white', 'metal', 'idol', 'silver', 'polished', 'give', 'allure', 'antique', 'look', 'also', 'ideal', 'gift', 'friend', 'relative', 'gift', 'piece', 'prepared', 'creative', 'artisan']"
Lal Haveli Beautifully crafted and painted Horse with bells Showpiece  -  33 cm,Home Decor & Festive Needs,"Lal Haveli Beautifully crafted and painted Horse with bells Showpiece  -  33 cm (Wooden, Iron, Red)
                         Price: Rs. 2,249
				
			Presenting you a beautiful animal figurine handmade. Beautifully crafted and painted Horse with bells, fusion of Mango wood and aluminium metal. This horse is Beautifully casted of solid aluminium metal with detailed hand crafted done on it and polished to give that prefect shine. Product will be exactly as shown in pictures.
Presenting you a beautiful animal figurine handmade. Beautifully crafted and painted Horse with bells, fusion of Mango wood and aluminium metal. This horse is Beautifully casted of solid aluminium metal with detailed hand crafted done on it and polished to give that prefect shine. Product will be exactly as shown in pictures.","['lal', 'haveli', 'beautifully', 'craft', 'paint', 'horse', 'bell', 'showpiece', '33', 'cm', 'wooden', 'iron', 'red', 'price', 'r', '2', '249', 'present', 'beautiful', 'animal', 'figurine', 'handmade', 'beautifully', 'craft', 'paint', 'horse', 'bell', 'fusion', 'mango', 'wood', 'aluminium', 'metal', 'horse', 'beautifully', 'cast', 'solid', 'aluminium', 'metal', 'detailed', 'hand', 'craft', 'do', 'polished', 'give', 'prefect', 'shine', 'product', 'exactly', 'show', 'picture', 'present', 'beautiful', 'animal', 'figurine', 'handmade', 'beautifully', 'craft', 'paint', 'horse', 'bell', 'fusion', 'mango', 'wood', 'aluminium', 'metal', 'horse', 'beautifully', 'cast', 'solid', 'aluminium', 'metal', 'detailed', 'hand', 'craft', 'do', 'polished', 'give', 'prefect', 'shine', 'product', 'exactly', 'show', 'picture']"
Sovam International Radha Krishna God Showpiece  -  6 cm,Home Decor & Festive Needs,"Sovam International Radha Krishna God Showpiece  -  6 cm (Brass, White)
                         Price: Rs. 1,899
				
			The Image is of Original item but does not represent the actual size & colour of the item as it is cropped for display. What you see herein the Picture, is what you will Get
The Image is of Original item but does not represent the actual size & colour of the item as it is cropped for display. What you see herein the Picture, is what you will Get","['sovam', 'international', 'radha', 'krishna', 'god', 'showpiece', '6', 'cm', 'brass', 'white', 'price', 'r', '1', '899', 'image', 'original', 'item', 'represent', 'actual', 'size', 'colour', 'item', 'cropped', 'display', 'see', 'herein', 'picture', 'get', 'image', 'original', 'item', 'represent', 'actual', 'size', 'colour', 'item', 'cropped', 'display', 'see', 'herein', 'picture', 'get']"
The Ethnic Story Royal Durban Showpiece  -  30.48 cm,Home Decor & Festive Needs,Buy The Ethnic Story Royal Durban Showpiece  -  30.48 cm for Rs.1850 online. The Ethnic Story Royal Durban Showpiece  -  30.48 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'ethnic', 'story', 'royal', 'durban', 'showpiece', '30', '48', 'cm', 'r', '1850', 'online', 'ethnic', 'story', 'royal', 'durban', 'showpiece', '30', '48', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
JSM Hard Anodized Kadhai 4 L,Kitchen & Dining,Buy JSM Hard Anodized Kadhai 4 L for Rs.1071 online. JSM Hard Anodized Kadhai 4 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'jsm', 'hard', 'anodize', 'kadhai', '4', 'l', 'r', '1071', 'online', 'jsm', 'hard', 'anodize', 'kadhai', '4', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Celebrity Wheel Pizza Cutter,Kitchen & Dining,"Celebrity Wheel Pizza Cutter (Carbon Steel Pack of 1)
                         Price: Rs. 199
				
			Fast Cutting
Fast Cutting","['celebrity', 'wheel', 'pizza', 'cutter', 'carbon', 'steel', 'pack', '1', 'price', 'r', '199', 'fast', 'cut', 'fast', 'cut']"
Unique Design Mobile Stand Showpiece  -  15 cm,Home Decor & Festive Needs,"Unique Design Mobile Stand Showpiece  -  15 cm (Wooden, Yellow)
                         Price: Rs. 350
				
			This Handcrafted Mobile Stand Is Made Of Wood And Decorated With Rajasthani Painting. It Is An Ideal Gift For Your Friends And Relatives. This Product Is Offered At Highly Economical Rates
This Handcrafted Mobile Stand Is Made Of Wood And Decorated With Rajasthani Painting. It Is An Ideal Gift For Your Friends And Relatives. This Product Is Offered At Highly Economical Rates","['unique', 'design', 'mobile', 'stand', 'showpiece', '15', 'cm', 'wooden', 'yellow', 'price', 'r', '350', 'handcraft', 'mobile', 'stand', 'make', 'wood', 'decorate', 'rajasthani', 'painting', 'ideal', 'gift', 'friend', 'relative', 'product', 'offer', 'highly', 'economical', 'rate', 'handcraft', 'mobile', 'stand', 'make', 'wood', 'decorate', 'rajasthani', 'painting', 'ideal', 'gift', 'friend', 'relative', 'product', 'offer', 'highly', 'economical', 'rate']"
Lal Haveli Iron Wall Decorative Musician Showpiece  -  50.8 cm,Home Decor & Festive Needs,Buy Lal Haveli Iron Wall Decorative Musician Showpiece  -  50.8 cm for Rs.6949 online. Lal Haveli Iron Wall Decorative Musician Showpiece  -  50.8 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'lal', 'haveli', 'iron', 'wall', 'decorative', 'musician', 'showpiece', '50', '8', 'cm', 'r', '6949', 'online', 'lal', 'haveli', 'iron', 'wall', 'decorative', 'musician', 'showpiece', '50', '8', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Metallino Hard Anodised Kadhai 1.2 L,Kitchen & Dining,Buy Metallino Hard Anodised Kadhai 1.2 L for Rs.588 online. Metallino Hard Anodised Kadhai 1.2 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'metallino', 'hard', 'anodise', 'kadhai', '1', '2', 'l', 'r', '588', 'online', 'metallino', 'hard', 'anodise', 'kadhai', '1', '2', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Ruchiworld Marble Pot Showpiece  -  4 cm,Home Decor & Festive Needs,"Ruchiworld Marble Pot Showpiece  -  4 cm (Stoneware, Multicolor)
                         Price: Rs. 1,250
				
			It Is An Exclusive Show Piece For Your Drawing Room. A Surity Of Getting Admiration By Your Guests. Shop This Artistic Item At The Best Price.
It Is An Exclusive Show Piece For Your Drawing Room. A Surity Of Getting Admiration By Your Guests. Shop This Artistic Item At The Best Price.","['ruchiworld', 'marble', 'pot', 'showpiece', '4', 'cm', 'stoneware', 'multicolor', 'price', 'r', '1', '250', 'exclusive', 'show', 'piece', 'draw', 'room', 'surity', 'get', 'admiration', 'guest', 'shop', 'artistic', 'item', 'best', 'price', 'exclusive', 'show', 'piece', 'draw', 'room', 'surity', 'get', 'admiration', 'guest', 'shop', 'artistic', 'item', 'best', 'price']"
Kosher Kadhai 5 L,Kitchen & Dining,Buy Kosher Kadhai 5 L for Rs.592 online. Kosher Kadhai 5 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'kosher', 'kadhai', '5', 'l', 'r', '592', 'online', 'kosher', 'kadhai', '5', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Recon SuperChef Kadhai,Kitchen & Dining,Buy Recon SuperChef Kadhai for Rs.715 online. Recon SuperChef Kadhai at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'recon', 'superchef', 'kadhai', 'r', '715', 'online', 'recon', 'superchef', 'kadhai', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
"Indian Art Villa 2.3"" X 6.9"" X 2.3"" Handmade High Quality Stainless Steel Copper Dish Serving Indian Food Daal Curry Karahi Kadai Wok Bowl Kadhai 0.7 L",Kitchen & Dining,"Buy Indian Art Villa 2.3"" X 6.9"" X 2.3"" Handmade High Quality Stainless Steel Copper Dish Serving Indian Food Daal Curry Karahi Kadai Wok Bowl Kadhai 0.7 L for Rs.750 online. Indian Art Villa 2.3"" X 6.9"" X 2.3"" Handmade High Quality Stainless Steel Copper Dish Serving Indian Food Daal Curry Karahi Kadai Wok Bowl Kadhai 0.7 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.","['buy', 'indian', 'art', 'villa', '2', '3', 'x', '6', '9', 'x', '2', '3', 'handmade', 'high', 'quality', 'stainless', 'steel', 'copper', 'dish', 'serve', 'indian', 'food', 'daal', 'curry', 'karahi', 'kadai', 'wok', 'bowl', 'kadhai', '0', '7', 'l', 'r', '750', 'online', 'indian', 'art', 'villa', '2', '3', 'x', '6', '9', 'x', '2', '3', 'handmade', 'high', 'quality', 'stainless', 'steel', 'copper', 'dish', 'serve', 'indian', 'food', 'daal', 'curry', 'karahi', 'kadai', 'wok', 'bowl', 'kadhai', '0', '7', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Suruchi Kadhai 4.5 L,Kitchen & Dining,Buy Suruchi Kadhai 4.5 L for Rs.965 online. Suruchi Kadhai 4.5 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'suruchi', 'kadhai', '4', '5', 'l', 'r', '965', 'online', 'suruchi', 'kadhai', '4', '5', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Bergner Kadhai NA L,Kitchen & Dining,"Bergner Kadhai NA L (Aluminium, Non-stick)
                         Price: Rs. 1,499
				
			Get this strong kadai with tempered glass lid from Bergner and make a brilliant collection of utensils for your kitchen. 
Made of high quality stainless steel with diamond coating,
 these have quick heat distribution ability and are lightweight and corrosion resistant.
Get this strong kadai with tempered glass lid from Bergner and make a brilliant collection of utensils for your kitchen. 
Made of high quality stainless steel with diamond coating,
 these have quick heat distribution ability and are lightweight and corrosion resistant.","['bergner', 'kadhai', 'na', 'l', 'aluminium', 'non', 'stick', 'price', 'r', '1', '499', 'get', 'strong', 'kadai', 'temper', 'glass', 'lid', 'bergner', 'make', 'brilliant', 'collection', 'utensil', 'kitchen', 'make', 'high', 'quality', 'stainless', 'steel', 'diamond', 'coat', 'quick', 'heat', 'distribution', 'ability', 'lightweight', 'corrosion', 'resistant', 'get', 'strong', 'kadai', 'temper', 'glass', 'lid', 'bergner', 'make', 'brilliant', 'collection', 'utensil', 'kitchen', 'make', 'high', 'quality', 'stainless', 'steel', 'diamond', 'coat', 'quick', 'heat', 'distribution', 'ability', 'lightweight', 'corrosion', 'resistant']"
Kalash Kadhai 11.5 L,Kitchen & Dining,Buy Kalash Kadhai 11.5 L for Rs.1584 online. Kalash Kadhai 11.5 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'kalash', 'kadhai', '11', '5', 'l', 'r', '1584', 'online', 'kalash', 'kadhai', '11', '5', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Peacock Kadhai 3.8 L,Kitchen & Dining,Buy Peacock Kadhai 3.8 L for Rs.1155 online. Peacock Kadhai 3.8 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'peacock', 'kadhai', '3', '8', 'l', 'r', '1155', 'online', 'peacock', 'kadhai', '3', '8', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Leo Natura Paniarakkal 7 Hole Kadhai NA L,Kitchen & Dining,Buy Leo Natura Paniarakkal 7 Hole Kadhai NA L for Rs.649 online. Leo Natura Paniarakkal 7 Hole Kadhai NA L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'leo', 'natura', 'paniarakkal', '7', 'hole', 'kadhai', 'na', 'l', 'r', '649', 'online', 'leo', 'natura', 'paniarakkal', '7', 'hole', 'kadhai', 'na', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Malhar Niko Male Doll Showpiece  -  25 cm,Home Decor & Festive Needs,Buy Malhar Niko Male Doll Showpiece  -  25 cm for Rs.5436 online. Malhar Niko Male Doll Showpiece  -  25 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'malhar', 'niko', 'male', 'doll', 'showpiece', '25', 'cm', 'r', '5436', 'online', 'malhar', 'niko', 'male', 'doll', 'showpiece', '25', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Sumeet Hard Anodised 14 Kadhai 3 L,Kitchen & Dining,Buy Sumeet Hard Anodised 14 Kadhai 3 L for Rs.1045 online. Sumeet Hard Anodised 14 Kadhai 3 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'sumeet', 'hard', 'anodise', '14', 'kadhai', '3', 'l', 'r', '1045', 'online', 'sumeet', 'hard', 'anodise', '14', 'kadhai', '3', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
TRUE Bong,Home Decor & Festive Needs,Buy TRUE Bong for Rs.549 online. TRUE Bong at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'true', 'bong', 'r', '549', 'online', 'true', 'bong', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Kalash Kadhai 3.5 L,Kitchen & Dining,Buy Kalash Kadhai 3.5 L for Rs.549 online. Kalash Kadhai 3.5 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'kalash', 'kadhai', '3', '5', 'l', 'r', '549', 'online', 'kalash', 'kadhai', '3', '5', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Metallino Kadhai NA L,Kitchen & Dining,Buy Metallino Kadhai NA L for Rs.721 online. Metallino Kadhai NA L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'metallino', 'kadhai', 'na', 'l', 'r', '721', 'online', 'metallino', 'kadhai', 'na', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Metallino Hard Anodised WGlass Lid Kadhai 3.5 L,Kitchen & Dining,Buy Metallino Hard Anodised WGlass Lid Kadhai 3.5 L for Rs.1132 online. Metallino Hard Anodised WGlass Lid Kadhai 3.5 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'metallino', 'hard', 'anodise', 'wglass', 'lid', 'kadhai', '3', '5', 'l', 'r', '1132', 'online', 'metallino', 'hard', 'anodise', 'wglass', 'lid', 'kadhai', '3', '5', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
The Crafts House Showpiece  -  6.5 cm,Home Decor & Festive Needs,Buy The Crafts House Showpiece  -  6.5 cm for Rs.1499 online. The Crafts House Showpiece  -  6.5 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'craft', 'house', 'showpiece', '6', '5', 'cm', 'r', '1499', 'online', 'craft', 'house', 'showpiece', '6', '5', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Jaipan KD2.5 Kadhai 2.5 L,Kitchen & Dining,Buy Jaipan KD2.5 Kadhai 2.5 L for Rs.499 online. Jaipan KD2.5 Kadhai 2.5 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'jaipan', 'kd2', '5', 'kadhai', '2', '5', 'l', 'r', '499', 'online', 'jaipan', 'kd2', '5', 'kadhai', '2', '5', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Tiedribbons Mamma'S Fairies Gifts Tile Showpiece  -  28 cm,Home Decor & Festive Needs,"Tiedribbons Mamma'S Fairies Gifts Tile Showpiece  -  28 cm (Ceramic, Multicolor)
                         Price: Rs. 699
				
			With a bright colour combination and a fantastic look this Tile is indeed an exclusive creation by the brand TiedRibbons. This wonderful show piece will make a fine addition to the prayer room, living room or even in your office. It is easy to maintain the good looks of this tile for years with a simple cloth wipe. The print is high on quality and will retain its brightness for long. It comes with a wooden easel stand and is easy to place on any table or shelf in your room. You can consider this tile as a wonderful gift option for house warming occasions and other festive occasions too. Shop with confidence! Sit back and enjoy shopping while we make sure to deliver this purchase for free right at your doorstep.
With a bright colour combination and a fantastic look this Tile is indeed an exclusive creation by the brand TiedRibbons. This wonderful show piece will make a fine addition to the prayer room, living room or even in your office. It is easy to maintain the good looks of this tile for years with a simple cloth wipe. The print is high on quality and will retain its brightness for long. It comes with a wooden easel stand and is easy to place on any table or shelf in your room. You can consider this tile as a wonderful gift option for house warming occasions and other festive occasions too. Shop with confidence! Sit back and enjoy shopping while we make sure to deliver this purchase for free right at your doorstep.","['tiedribbons', 'mamma', 'fairy', 'gift', 'tile', 'showpiece', '28', 'cm', 'ceramic', 'multicolor', 'price', 'r', '699', 'bright', 'colour', 'combination', 'fantastic', 'look', 'tile', 'indeed', 'exclusive', 'creation', 'brand', 'tiedribbons', 'wonderful', 'show', 'piece', 'make', 'fine', 'addition', 'prayer', 'room', 'living', 'room', 'even', 'office', 'easy', 'maintain', 'good', 'look', 'tile', 'year', 'simple', 'cloth', 'wipe', 'print', 'high', 'quality', 'retain', 'brightness', 'long', 'come', 'wooden', 'easel', 'stand', 'easy', 'place', 'table', 'shelf', 'room', 'consider', 'tile', 'wonderful', 'gift', 'option', 'house', 'warm', 'occasion', 'festive', 'occasion', 'shop', 'confidence', 'sit', 'back', 'enjoy', 'shopping', 'make', 'sure', 'deliver', 'purchase', 'free', 'right', 'doorstep', 'bright', 'colour', 'combination', 'fantastic', 'look', 'tile', 'indeed', 'exclusive', 'creation', 'brand', 'tiedribbons', 'wonderful', 'show', 'piece', 'make', 'fine', 'addition', 'prayer', 'room', 'living', 'room', 'even', 'office', 'easy', 'maintain', 'good', 'look', 'tile', 'year', 'simple', 'cloth', 'wipe', 'print', 'high', 'quality', 'retain', 'brightness', 'long', 'come', 'wooden', 'easel', 'stand', 'easy', 'place', 'table', 'shelf', 'room', 'consider', 'tile', 'wonderful', 'gift', 'option', 'house', 'warm', 'occasion', 'festive', 'occasion', 'shop', 'confidence', 'sit', 'back', 'enjoy', 'shopping', 'make', 'sure', 'deliver', 'purchase', 'free', 'right', 'doorstep']"
Unravel India Showpiece  -  16 cm,Home Decor & Festive Needs,Buy Unravel India Showpiece  -  16 cm for Rs.1749 online. Unravel India Showpiece  -  16 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'unravel', 'india', 'showpiece', '16', 'cm', 'r', '1749', 'online', 'unravel', 'india', 'showpiece', '16', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Ruchikainternational ruc0015 Showpiece  -  4 cm,Home Decor & Festive Needs,Buy Ruchikainternational ruc0015 Showpiece  -  4 cm for Rs.499 online. Ruchikainternational ruc0015 Showpiece  -  4 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'ruchikainternational', 'ruc0015', 'showpiece', '4', 'cm', 'r', '499', 'online', 'ruchikainternational', 'ruc0015', 'showpiece', '4', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Nirlon Kadhai 3 L,Kitchen & Dining,Buy Nirlon Kadhai 3 L for Rs.785 online. Nirlon Kadhai 3 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'nirlon', 'kadhai', '3', 'l', 'r', '785', 'online', 'nirlon', 'kadhai', '3', 'l', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Monil Cow With Calf Showpiece  -  10.2 cm,Home Decor & Festive Needs,Buy Monil Cow With Calf Showpiece  -  10.2 cm for Rs.520 online. Monil Cow With Calf Showpiece  -  10.2 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'monil', 'cow', 'calf', 'showpiece', '10', '2', 'cm', 'r', '520', 'online', 'monil', 'cow', 'calf', 'showpiece', '10', '2', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Pristine Hard Anodised Kadhai 2 L,Kitchen & Dining,"Pristine Hard Anodised Kadhai 2 L (Aluminium)
                         Price: Rs. 899
				
			PRISTINE, Manufacturers of a range of Gourmet Cookware carries an experience of over two decades & has been successfully exporting to The Americas, Europe, Australia. The organization is ISO Certified having state of the art manufacturing facility spread over an area of 1,50,000 sq.feet.All products are manufactured with precise workmanship & pass through stringent quality control tests & checks. We deliver Quality products to our customers at factory prices. All products are packed in attractive gift boxes making it an ideal gifting solution as well.Our efforts are towards making the Kitchen a smarter place enhancing convenience, reduce time spent & reflect modern lifestyles.Our Mission: �To provide Quality Products at Affordable Prices.�
PRISTINE, Manufacturers of a range of Gourmet Cookware carries an experience of over two decades & has been successfully exporting to The Americas, Europe, Australia. The organization is ISO Certified having state of the art manufacturing facility spread over an area of 1,50,000 sq.feet.All products are manufactured with precise workmanship & pass through stringent quality control tests & checks. We deliver Quality products to our customers at factory prices. All products are packed in attractive gift boxes making it an ideal gifting solution as well.Our efforts are towards making the Kitchen a smarter place enhancing convenience, reduce time spent & reflect modern lifestyles.Our Mission: �To provide Quality Products at Affordable Prices.�","['pristine', 'hard', 'anodise', 'kadhai', '2', 'l', 'aluminium', 'price', 'r', '899', 'pristine', 'manufacturer', 'range', 'gourmet', 'cookware', 'carry', 'experience', 'two', 'decade', 'successfully', 'export', 'america', 'europe', 'australia', 'organization', 'iso', 'certify', 'state', 'art', 'manufacturing', 'facility', 'spread', 'area', '1', '50', '000', 'sq', 'foot', 'product', 'manufacture', 'precise', 'workmanship', 'pas', 'stringent', 'quality', 'control', 'test', 'check', 'deliver', 'quality', 'product', 'customer', 'factory', 'price', 'product', 'packed', 'attractive', 'gift', 'box', 'make', 'ideal', 'gift', 'solution', 'well', 'effort', 'towards', 'make', 'kitchen', 'smarter', 'place', 'enhance', 'convenience', 'reduce', 'time', 'spent', 'reflect', 'modern', 'lifestyle', 'mission', 'provide', 'quality', 'product', 'affordable', 'price', 'pristine', 'manufacturer', 'range', 'gourmet', 'cookware', 'carry', 'experience', 'two', 'decade', 'successfully', 'export', 'america', 'europe', 'australia', 'organization', 'iso', 'certify', 'state', 'art', 'manufacturing', 'facility', 'spread', 'area', '1', '50', '000', 'sq', 'foot', 'product', 'manufacture', 'precise', 'workmanship', 'pas', 'stringent', 'quality', 'control', 'test', 'check', 'deliver', 'quality', 'product', 'customer', 'factory', 'price', 'product', 'packed', 'attractive', 'gift', 'box', 'make', 'ideal', 'gift', 'solution', 'well', 'effort', 'towards', 'make', 'kitchen', 'smarter', 'place', 'enhance', 'convenience', 'reduce', 'time', 'spent', 'reflect', 'modern', 'lifestyle', 'mission', 'provide', 'quality', 'product', 'affordable', 'price']"
Shoppingtara Marble Elephant Pair Showpiece  -  5 cm,Home Decor & Festive Needs,Buy Shoppingtara Marble Elephant Pair Showpiece  -  5 cm for Rs.589 online. Shoppingtara Marble Elephant Pair Showpiece  -  5 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'shoppingtara', 'marble', 'elephant', 'pair', 'showpiece', '5', 'cm', 'r', '589', 'online', 'shoppingtara', 'marble', 'elephant', 'pair', 'showpiece', '5', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Woodino Handicrafts Showpiece  -  6.5 cm,Home Decor & Festive Needs,Buy Woodino Handicrafts Showpiece  -  6.5 cm for Rs.399 online. Woodino Handicrafts Showpiece  -  6.5 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,"['buy', 'woodino', 'handicraft', 'showpiece', '6', '5', 'cm', 'r', '399', 'online', 'woodino', 'handicraft', 'showpiece', '6', '5', 'cm', 'best', 'price', 'free', 'shipping', 'cash', 'delivery', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee']"
Unique Handicrafts Inlaid Marble Box Showpiece  -  4.5 cm,Home Decor & Festive Needs,"Unique Handicrafts Inlaid Marble Box Showpiece  -  4.5 cm (Stoneware, Blue)
                         Price: Rs. 1,200
				
			White Marble Box Inlaid With Semi Precious Stones
White Marble Box Inlaid With Semi Precious Stones","['unique', 'handicraft', 'inlaid', 'marble', 'box', 'showpiece', '4', '5', 'cm', 'stoneware', 'blue', 'price', 'r', '1', '200', 'white', 'marble', 'box', 'inlaid', 'semi', 'precious', 'stone', 'white', 'marble', 'box', 'inlaid', 'semi', 'precious', 'stone']"
